<narrator>「ダミーメッセージ」=
<konohamaru>「ここでは　<blue>くちよせシート<black>が|できるんだな　コレ！」=<konohamaru>You can use your Summoning Sheets here, okay!
<konohamaru>「まず！　このくちよせシートは　いちど|ゲームをクリアしないと　つかえないんだ」=
<konohamaru>「・・・つぎに　くちよせシートを|よういするんだな　コレ！」=
<konohamaru>「くちよせシートを　下（した）がめんに|セットして・・・」=<konohamaru>Get the Summoning Sheet you found and place it over the Touch Screen.
<konohamaru>「ばんごうじゅんに　あなのところを|タッチするんだ！」=<konohamaru>Then touch the screen in the order written on it. That's it!
<konohamaru>「すると！　レアなそうびひんや|どうぐ・だいじなものがてにはいるんだ！」=
<konohamaru>「どうぐによっては　“つかう”をしてみると|すごいことがおこるものも　あるんだ！」=
<konohamaru>「こんなかんじなんだな　コレ！|・・・わかったか？」=<konohamaru>You got that?
<narrator><instant>　まだ　よくわからない・・・|　りかいできた<0B>=
<konohamaru>「そーか・・・　じゃ！|もういちど　せつめいするんだな　コレ！」=
<konohamaru>「わかったんだな　コレ！|ンじゃあ・・・」=
<narrator>「これは　れきだいの　火影（ほかげ）さまを|えがいた　<blue>火影いわ<black>　じゃ」=<narrator>This is <blue>Hokage Rock<black>, showing our past Hokage.
<narrator>「いちばん　みぎにみえる|<blue>四代目（よんだいめ）　火影さま<black>は」=<narrator>On the far right is the <blue>Fourth Hokage<black>.
<narrator>「１２ねんまえ　里を　九尾（きゅうび）の|バケ狐（ぎつね）から　すくった　えいゆう　なんじゃ」=<narrator>He's the hero who stopped the Nine-Tailed Fox Spirt 12 years ago.
<narrator>「そして　その　ひだりうえに　みえる|<blue>三代目　火影さま<black>もまた・・・」=<narrator>To the left of him is the <blue>Third Hokage<black>.
<narrator>「里をすくった　えいゆうとして|人びとの　こころに　生きつづけるのじゃ」=<narrator>He also lives on as a hero who saved the Hidden Lead Village.
<narrator>「これは　れきだいの　火影（ほかげ）さまを|えがいた　<blue>火影いわ<black>　じゃ」=<narrator>This is <blue>Hokage Rock<black>, showing our past Hokage.
<narrator>「いちばん　みぎにみえる|<blue>四代目（よんだいめ）　火影さま<black>は」=<narrator>On the far right is the <blue>Fourth Hokage<black>.
<narrator>「１２ねんまえ　里を　九尾（きゅうび）の|バケ狐（ぎつね）から　すくった　えいゆう　なんじゃ」=<narrator>He's the hero who stopped the Nine-Tailed Fox Spirt 12 years ago.
<narrator>「その　ひだりうえに　みえる|<blue>三代目　火影さま<black>もまた・・・」=<narrator>To the left of him is the <blue>Third Hokage<black>.
<narrator>「里をすくった　えいゆうとして|人びとの　こころに　生きつづけておる・・・」=<narrator>He also lives on as a hero who saved the Hidden Lead Village...
<narrator>「そして　いま！　<blue>五代目火影さま<black>に　しゅうにんされた|<blue>綱手さま<black>のおかおが　ついかされようとしている」=<narrator>Now the face of our <blue>Fifth Hokage<black>, Lady Tsunade...|Is about to be added to this <blue>Hokage Rock<black>! 
<konohamaru>「忍者学校がやすみでも　オレはオレで|修業するんだな　コレ！」=
<konohamaru>「ナルトのにいちゃん！|任務（にんむ）がんばるんだな　コレ！」=
