<naruto><14006A>「サスケェ！！」<w37>=SASUKE!!!<w37>
<naruto>「オレから　にげんのか！！」=Are you gonna run off again!?
<symbol35><small_sasuke>「よう　ウスラトンカチ　<w5>・<w5>・<w5>・<w5>それに|なんだ　ゾロゾロと・・・」=So it's you...<w21>hopeless little knucklehead
<symbol35><small_sasuke>「おい　サクラ　おまえにいっただろ|もう　オレにかまうな　<w21>・・・って」=So you followed me after all...<w21>Sakura
<sakura>「サスケ<w5>・<w5>・<w5>・<w21>　くん」=Sasuke.<w5>.<w5>.<w5>.
<naruto>「なんで・・・<w21>　なんでだよ　サスケェ<w5>・<w5>・<w5>・」=Why....<w21>Why....<w21>...
<naruto>「なんで　そんなふうに　なっちまったんだよォ|おまえは！」=I DON'T GET IT! WHAT HAPPENED TO MAKE YOU LOOK LIKE THIS!? 
<symbol35><small_sasuke>「オレが　どうなろうが　おまえに|なんの　かんけいがある」=What's it to you what I do?
<symbol35><small_sasuke>「オレには　オレのみちがある　たとえ|だれであろうと　さしずされる　ギリはねェ」=I have my own path to follow now, and neither you nor anyone else can steer me from it
<symbol35><small_sasuke>「おまえら　木ノ葉のれんちゅうと|じゃれあうのは　もうおわりだ　<w21>・・・<blue>かえれ<black>」=The days I played ninja with you all in the Hidden Leaf are done.<w37> <blue>Go home
<naruto>「シカマル<w16>・チョウジ<w16>・キバ<w16>・ネジ<w16>・ゲジマユ<w16>|砂の我愛羅<w16>・テマリ<w16>・カンクロウ・・・」=Shikamaru...<w16>Choji...<w16>Kiba...<w16>Neji...<w16>Bushy Brows...<w16>Gaara...<w16>Temari...<w16>Kankuro...
<naruto>「そして　サクラちゃん・・・<w16>　みんな|いのちがけで　おまえを　おってきたんだぞ」=And Sakura....<w16>they all put their lives on the line to save you!
<symbol35><small_sasuke>「フン<w5>・<w5>・<w5>・<w21>　ごくろうな　こったな」=Hmph...<w21>good job, I guess
<naruto>「おまえは　<blue>“木ノ葉のなかま”<black>を|なんだと　おもってんだ！！」=IS THAT ALL WHAT YOUR COMRADES MEAN TO YOU!?
<symbol35><small_sasuke>「その　<blue>なかま<black>とやらと　いっしょにいて|オレは　つよくなれたのかよ・・・？」=These <blue>comrades <black>won't help me get stronger now, won't they?
<symbol35><small_sasuke>「<blue>オレは　大蛇丸のところへ　いく！<black>」=<blue>I'm still going to Orochimaru!
<naruto>「大蛇丸が　ただで　おまえに　チカラなんか|くれっとおもってんのか！？」=Do you really think he'll just give you power, no strings attached!?
「にどと　もどってこれねェかも　しんねェ！|ころされるかも　しんねェ！」=There'll be nothing of you left! You'll never make it out alive!
