<symbol3A><small_sasuke>（オレ<w16>・<w16>・<w16>・<w16>　は　いったい|いままで　なにをしてきたんだ）=<symbol3A><small_sasuke>(What have I<w16>.<w16>.<w16>.<w16>.been fighting for all this time?)
<sakura>「しつれいします」=Excuse me
<tsunade>「ナルト！　それに　春野サクラか・・・」=<tsunade>Naruto! And you must be Sakura Haruno...
<naruto>「綱手のバァちゃんに　シズネのねーちゃん！」=<naruto>Hey Gramma Tsunade! Good to see ya, Shizune!
<shizune>「こんにちは　ナルトくん！」=<shizune>Hello there, Naruto!
<sakura>「綱手さま<w16>・<w16>・<w16>・|サスケくんの　ようすは？」=<sakura>Lady Tsunade<w16>.<w16>.<w16>.please tell me. How is Sasuke doing now?
<tsunade>「ああ　もうだいじょうぶだよ|しんぱいない」=<tsunade>Oh he's all fixed up now, so don't worry about him
<tsunade>「あるけるようなら　いえにかえっても|だいじょうぶだろう・・・」=<tsunade>He can even go home as soon as he's good to walk...
<tsunade>「ただし　しばらくは　あんせいに|してないとな・・・」=<tsunade>But he can't go to a Hot Spring for the time being
<sakura>「ありがとうございます！！」=<sakura>Thank you so much, ma'am!
<naruto>「よかったね　サクラちゃん！」=<naruto>What a relief!
<sakura>「うん！！」=<sakura>Yeah!!
<shizune>「綱手さま・・・　そろそろ」=<shizune>Lady Tsunade...It's time to go
<tsunade>「あぁ・・・　わかってる」=<tsunade>Yeah yeah...I know
<naruto>「綱手のバァちゃん　もういっちゃうのか？」=<naruto>You're leaving already, Gramma?
<tsunade>「こうみえても　いろいろいそがしいんだよ<w16>|・・・火影は！」=<tsunade>Wouldn't you like to know how busy I am...<w16>as the hokage!
<naruto>「そっかぁ・・・<w16>|綱手のバァちゃん　さんきゅー！」=<naruto>I getcha...<w16>Well thanks for everything, Gramma!
<tsunade>「あとは　たのんだよ」=<tsunade>I'll leave the rest to you, then
<sakura>「サスケくん・・・　きぶんはどう？」=<sakura>Hey Sasuke...How are you feeling?
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<symbol3A><small_sasuke>.<w5>.<w5>.<w5>.<w5>.<w5>.
<naruto>「サスケェ・・・　おまえ　サクラちゃんが|しんぱいしてンだから　なんか　いえってばよ」=<naruto>Yo Sasuke! Sakura's been worried sick about you all this time! So if you can say something speak up!
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<symbol3A><small_sasuke>.<w5>.<w5>.<w5>.<w5>.<w5>.
<sakura>「ナルト！<w16>　サスケくん・・・　やみあがり|なんだから　はなすのも　しんどいのよ」=<sakura>Naruto!!<w16> He's been through a lot that we can't even begin to imagine, so we have to wait till he's comfortable!
<sakura>「ごめんね　サスケくん！　でも　わたしたち|サスケくんのこと　ほんとにしんぱいしてたの」=<sakura>Please forgive us, Sasuke! We've just been so tense worrying over you
<naruto>「おい　サスケ！　ほんとに　だいじょーぶか？|もっかい　綱手のバァちゃんにみてもらうか？」=<naruto>Are you really healed up, Sasuke? Should I bring Gramma Tsunade over to check up on you again?
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<symbol3A><small_sasuke>.<w5>.<w5>.<w5>.<w5>.<w5>.
<symbol3A><small_sasuke>「・<w5>・<w5>・<w21>うるせェ」=<symbol3A><small_sasuke>.<w5>.<w5>.<w5>.<w5>.<w5>.Put a sock in it
<naruto>「あ！？　なんだ　おまえ　なんかいったか？」=<naruto>What the-!? What did you just say!?
<symbol3A><small_sasuke>「うるせェつってんだよ・・・　みみざわりだ」=<symbol3A><small_sasuke>I said shut up...you're making my ears bleed
<sakura>「サ<w5>・<w5>・<w5>・<w16>　スケくん？　どうしちゃったの？|やっぱり　まだどっかいたむ・・・？」=Sasuke<w5>.<w5>.<w5>.<w16>.? Are you sure you're okay? Are you still in pain?
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<symbol3A><small_sasuke>.<w5>.<w5>.<w5>.<w5>.<w5>.
<symbol3A><small_sasuke>「ナルト・・・|<blue>オレと　いまから　たたかえ！<black>」=<symbol3A><small_sasuke>Naruto...<blue>I want you to fight me!
<naruto>「はぁ！？　綱手のバァちゃんに　ちりょうして|もらったばっかなのに　なにいってんだ？」=<naruto>What!? I can't do that you just got fixed by Gramma Tsunade!!
<symbol3A><small_sasuke>「<blue>いいから　たたかえ！<black>」=<symbol3A><small_sasuke><blue>I can still fight!
<naruto>「！！」=<naruto>!!
<symbol3B><small_sasuke>「チィ<w5>・<w5>・<w5>・<w5>どいつもこいつも|よけいなこと　しやがって」=<symbol3B><small_sasuke>Tch<w5>.<w5>.<w5>.<w5>.don't patronize me with your "worrying"
<naruto>「なにィ！」=Say WHAT!?
<symbol3B><small_sasuke>「オレとたたかいたいと　いってただろ？|いまから　やってやるって　いってんだ」=<symbol3B><small_sasuke>You've always said you wanted to fight me
<symbol3B><small_sasuke>「それとも　おじけづいたか？」=<symbol3B><small_sasuke>So now I'm giving you the chance
<sakura>「サ・・・　サスケくん|ちょっと　どうしちゃったの？」=<sakura>Sasuke, wait! What's going on with you?
<sakura>「ナルトも　なにか　いいなさいよ！|いきなり　こんな・・・」=<sakura>Naruto surely you won't accept this! Say something!
<naruto>「<blue>ちょうどいいってばよ！　オレも|おまえと　やりたいと　おもってたとこだ<black>」=<naruto><blue>Well bring on the fight then! You're right! I'll take my chance to beat you to a pulp!
<sakura>「ふ<w5>・<w5>・<w5>・<w5>　ふたりとも　やめよ！<w16>　ね！」=<sakura>P-<w32>Please stop this you two! 
<symbol3B><small_sasuke>「ついてこい」=<symbol3B><small_sasuke>Come on, follow me
<naruto>「フン！」=<naruto>On it!
<temari>「そんな　じっくり　みはってなくても|いのちには　べつじょうないんだ」=I'm surprised we all made it out with no life threatening injuries.
<shikamaru>「オレはよ<w16>・<w16>・<w16>・<w16>　この任務で　はじめて|小隊長（しょうたいちょう）についた」=This was<w16>.<w16>.<w16>.the first mission I had to lead
<shikamaru>「なかまをしんじて|じぶんたちのあんぜんよりも」=My comrades believed in me, and in my command
<shikamaru>「サスケをつれもどすために|任務にうちこんだ」=We were supposed to bring Sasuke back to the village
<shikamaru>「そのけっかが　これだ<w16>・<w16>・<w16>・<w21>|なかまは　きずつきたおれ　そのうえ」=But instead<w16>.<w16>.<w16>.they got injured
<shikamaru>「サスケを　つれもどせなかった<w21>|・・・それで　わかった」=And on top of that...<w21>we couldn't save him
<shikamaru>「オレは　忍にゃ　むいてねェ・・・<w21>」=I now know...<w21>I'm just not cut out to be a Shinobi...
<temari>「あんがい　モロいんだな・・・<w16>|おとこのくせ　しやがって」=That's awfully dumb...<w16>for a smart alec like you to say
<shikamaru>「オレが　あまかった　チカラが　たらなかった|ぜんぶ　オレのせいだ・・・」=I didn't have the strength to lead them to victory...this is all myfault...
<temari>「きずつくのが　こわいのか？」=Is it that scary to suffer a few injuries?
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=.<w5>.<w5>.<w5>.<w5>.
<temari>「おまえが　忍をやめても　おまえのなかまは|ちがう隊長（たいちょう）のもと　任務をする」=Even if you are to quit, your comrades will still go on missions with another commander
<temari>「そこで　おまえのなかまは|きけんに　さらされるかもしれない」=They'll still be in danger regardless
<temari>「でも　そのとき　おまえが隊長だったら|なかまは　きけんにあわずにすむかもしれない」=But if they had you leading them, then they won't get in trouble
<temari>「おまえらのいう　“なかま”とやらを|ほんとうに　たいせつにおもうのなら」=You Leaf people truly value your friendships and camaraderie
<temari>「その“なかま”のために　おまえが　より|かしこくなることを　かんがえたらどうだ？」=How about you stay...for the sake of your teammates?
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=.<w5>.<w5>.<w5>.<w5>.<w5>.<w5>.
<tsunade>「シカマルに　・・・テマリ？<w16>　だったっけか|おまえたち　もう　きがついたのか？」=Shikamaru? <w16> Temari? Are you two okay?
